date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:06	970/970	---M--	200	added ('OK')	image/jpeg	etag:%223ca-49aaa4d6dc540%22	http://shop.maus.jp/pub/ca_mug.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_mug.jpg	(from http://shop.maus.jp/)
14:34:07	702/702	---M--	200	added ('OK')	image/jpeg	etag:%222be-49aaa4d7d0780%22	http://shop.maus.jp/pub/ca_wear.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_wear.jpg	(from http://shop.maus.jp/)
14:34:07	27620/27620	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:15%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e7%94%9f%e6%b4%bb%e9%9b%91%e8%b2%a8	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexe2a8.html	(from http://shop.maus.jp/)
14:34:08	23229/23229	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:16%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e9%a3%9f%e5%99%a8	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexc6d1.html	(from http://shop.maus.jp/)
14:34:08	942/942	---M--	200	added ('OK')	image/jpeg	etag:%223ae-49aaa4d6dc540%22	http://shop.maus.jp/pub/ca_bag.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_bag.jpg	(from http://shop.maus.jp/)
14:34:08	1375/1375	---M--	200	added ('OK')	image/gif	etag:%2255f-480a1782abf40%22	http://shop.maus.jp/pub/left_cart.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/left_cart.gif	(from http://shop.maus.jp/)
14:34:09	24491/24491	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:16%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%83%9e%e3%82%b0%e3%82%ab%e3%83%83%e3%83%97	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexcfe4.html	(from http://shop.maus.jp/)
14:34:09	1219/1219	---M--	200	added ('OK')	image/gif	etag:%224c3-480a1782abf40%22	http://shop.maus.jp/pub/left_cart_btn.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/left_cart_btn.gif	(from http://shop.maus.jp/)
14:34:10	24470/24470	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:17%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%83%90%e3%83%83%e3%82%b0%e3%83%bb%e3%83%9d%e3%83%bc%e3%83%81	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/index985d.html	(from http://shop.maus.jp/)
14:34:10	23235/23235	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:17%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=T%e3%82%b7%e3%83%a3%e3%83%84%e3%83%bb%e6%9c%8d	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/index8142.html	(from http://shop.maus.jp/)
14:34:10	1156/1156	---M--	200	added ('OK')	image/gif	etag:%22484-480a1783a0180%22	http://shop.maus.jp/pub/left_read.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/left_read.gif	(from http://shop.maus.jp/)
14:34:11	29547/29547	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:19%20GMT	http://shop.maus.jp/staticdoc/p/company_index	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/staticdoc/p/company_index.html	(from http://shop.maus.jp/)
14:34:13	43470/43470	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:19%20GMT	http://shop.maus.jp/qa_detail/id/111	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/qa_detail/id/111.html	(from http://shop.maus.jp/)
14:34:14	39085/39085	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:20%20GMT	http://shop.maus.jp/qa_detail/id/129	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/qa_detail/id/129.html	(from http://shop.maus.jp/)
14:34:14	26955/26955	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:22%20GMT	http://shop.maus.jp/staticdoc/p/company_privacy	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/staticdoc/p/company_privacy.html	(from http://shop.maus.jp/)
14:34:14	1179/1179	---M--	200	added ('OK')	image/gif	etag:%2249b-480a1782abf40%22	http://shop.maus.jp/pub/left_mailmagazine.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/left_mailmagazine.gif	(from http://shop.maus.jp/)
14:34:14	1293/1293	---M--	200	added ('OK')	image/gif	etag:%2250d-480a1782abf40%22	http://shop.maus.jp/pub/left_blog.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/left_blog.gif	(from http://shop.maus.jp/)
14:34:14	2407/2407	---M--	200	added ('OK')	image/gif	etag:%22967-480a1783a0180%22	http://shop.maus.jp/pub/PA01002103_m.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/PA01002103_m.gif	(from http://shop.maus.jp/)
14:34:15	4383/4383	---M--	200	added ('OK')	image/jpeg	etag:%22111f-480a1783a0180%22	http://shop.maus.jp/pub/maus_mobqr.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/maus_mobqr.jpg	(from http://shop.maus.jp/)
14:34:16	29946/29946	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:24%20GMT	http://shop.maus.jp/event/id/11095	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/event/id/11095.html	(from http://shop.maus.jp/)
14:34:17	2235/2235	---M--	200	added ('OK')	image/gif	etag:%224633b9222483673259902d41c525b49a%22	http://img03.shop-pro.jp/PA01002/103/etc/center_newarrival.gif	E:/My%20work/ShopMaus_Xcontents/img03.shop-pro.jp/PA01002/103/etc/center_newarrival.gif	(from http://shop.maus.jp/)
14:34:18	39326/39326	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:26%20GMT	http://shop.maus.jp/detail/id/00000088981	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000088981.html	(from http://shop.maus.jp/)
14:34:19	31244/31244	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:27%20GMT	http://shop.maus.jp/detail/id/00000082683	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000082683.html	(from http://shop.maus.jp/)
14:34:20	4507/4507	---M--	200	added ('OK')	image/jpeg	etag:%22119b-578647472dd77%22	http://www.cospa.com/images/items/pc/201810/OFhbjYcyG7sb.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/201810/OFhbjYcyG7sb.jpg	(from http://shop.maus.jp/)
14:34:21	33689/33689	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:29%20GMT	http://shop.maus.jp/detail/id/00000082682	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000082682.html	(from http://shop.maus.jp/)
14:34:21	3698/3698	---M--	200	added ('OK')	image/jpeg	etag:%22e72-56021b5ad555a%22	http://www.cospa.com/images/items/pc/182921.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/182921.jpg	(from http://shop.maus.jp/)
14:34:21	3971/3971	---M--	200	added ('OK')	image/jpeg	etag:%22f83-56021b7f29f5c%22	http://www.cospa.com/images/items/pc/182925.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/182925.jpg	(from http://shop.maus.jp/)
14:34:22	31783/31783	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:30%20GMT	http://shop.maus.jp/detail/id/00000082577	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000082577.html	(from http://shop.maus.jp/)
14:34:22	3149/3149	---M--	200	added ('OK')	image/jpeg	etag:%22c4d-56021de4166f3%22	http://www.cospa.com/images/items/pc/182963.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/182963.jpg	(from http://shop.maus.jp/)
14:34:24	29502/29502	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:31%20GMT	http://shop.maus.jp/detail/id/00000082575	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000082575.html	(from http://shop.maus.jp/)
14:34:24	2582/2582	---M--	200	added ('OK')	image/jpeg	etag:%22a16-56021db9ddbcd%22	http://www.cospa.com/images/items/pc/182960.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/182960.jpg	(from http://shop.maus.jp/)
14:34:24	28358/28358	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:33%20GMT	http://shop.maus.jp/detail/id/00000082561	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000082561.html	(from http://shop.maus.jp/)
14:34:25	2258/2258	---M--	200	added ('OK')	image/jpeg	etag:%228d2-56021bbad82e7%22	http://www.cospa.com/images/items/pc/182929.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/182929.jpg	(from http://shop.maus.jp/)
14:34:26	35653/35653	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:34%20GMT	http://shop.maus.jp/detail/id/00000081148	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000081148.html	(from http://shop.maus.jp/)
14:34:28	34995/34995	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:35%20GMT	http://shop.maus.jp/detail/id/00000081147	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000081147.html	(from http://shop.maus.jp/)
14:34:29	34268/34268	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:37%20GMT	http://shop.maus.jp/detail/id/00000081046	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000081046.html	(from http://shop.maus.jp/)
14:34:31	71837/71837	---M--	200	added ('OK')	image/jpeg	etag:%221189d-560c35a3a5e9d%22	http://www.cospa.com/images/events/pc/19927.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/events/pc/19927.jpg	(from http://shop.maus.jp/)
14:34:33	38130/38130	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:40%20GMT	http://shop.maus.jp/detail/id/00000081048	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/detail/id/00000081048.html	(from http://shop.maus.jp/)
14:34:33	39117/39117	---M--	200	added ('OK')	image/jpeg	etag:%2298cd-55b65db747c10%22	http://www.cospa.com/images/items/pc/177645.jpg	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/items/pc/177645.jpg	(from http://shop.maus.jp/)
